"['68', '27', '70', '17', '21', '32', '63', '47', '49', '61', '23', '53', '50', '5', '22']","['30', '76', '59']","['76', '70', '68']",1,1
"['28', '56', '18', '21', '68', '19', '25', '34', '71', '29', '32', '63', '47', '64', '76']","['45', '60', '50']","['47', '45', '76']",1,1
"['51', '74', '28', '25', '73', '37', '3', '30', '35', '27', '45', '54', '16', '75', '36']","['17', '5', '55']","['73', '74', '75']",2,0
"['55', '63', '59', '75', '72', '36', '33', '11', '23', '17', '7', '38', '10', '16', '3']","['61', '34', '40']","['34', '33', '23']",4,0
"['47', '50', '0', '11', '4', '7', '34', '20', '64', '24', '9', '52', '36', '40', '23']","['43', '19', '42']","['23', '24', '34']",2,1
"['54', '56', '37', '17', '9', '59', '8', '13', '18', '50', '58', '6', '73', '74', '38']","['1', '72', '0']","['74', '73', '72']",2,0
"['15', '57', '26', '22', '45', '7', '27', '34', '51', '18', '19', '44', '62', '33', '14']","['35', '4', '38']","['62', '57', '51']",1,0
"['19', '51', '44', '48', '60', '27', '25', '4', '55', '40', '68', '58', '34', '41', '43']","['15', '65', '74']","['25', '27', '34']",4,0
"['15', '35', '40', '3', '21', '18', '57', '4', '56', '61', '59', '62', '19', '36', '45']","['20', '14', '51']","['40', '45', '62']",3,2
"['38', '26', '9', '1', '75', '50', '57', '24', '69', '40', '2', '56', '48', '29', '22']","['59', '28', '21']","['38', '40', '48']",4,0
"['68', '69', '70', '9', '0', '76', '5', '75', '10', '71', '59', '53', '26', '74', '2']","['43', '65', '47']","['43', '47', '76']",4,1
"['24', '19', '23', '32', '9', '56', '70', '0', '12', '41', '57', '3', '28', '26', '1']","['49', '61', '22']","['61', '57', '56']",1,1
"['11', '26', '48', '12', '43', '76', '72', '67', '64', '69', '37', '62', '7', '66', '65']","['17', '39', '8']","['62', '48', '76']",1,0
"['0', '59', '67', '7', '71', '45', '26', '69', '53', '14', '70', '36', '8', '18', '19']","['49', '23', '47']","['23', '26', '47']",2,0
"['34', '19', '10', '30', '43', '69', '47', '16', '15', '62', '41', '52', '59', '0', '39']","['25', '58', '75']","['34', '30', '25']",2,0
"['27', '30', '32', '5', '33', '61', '72', '7', '17', '52', '29', '23', '58', '16', '38']","['66', '74', '48']","['38', '48', '61']",2,0
"['70', '71', '56', '40', '65', '48', '16', '46', '34', '54', '32', '66', '68', '44', '6']","['2', '61', '13']","['32', '34', '48']",2,0
"['2', '34', '33', '19', '66', '32', '72', '52', '5', '49', '46', '53', '25', '4', '27']","['77', '45', '24']","['34', '33', '32']",4,0
"['31', '13', '10', '29', '6', '70', '61', '14', '11', '3', '46', '75', '30', '38', '1']","['43', '59', '73']","['61', '59', '46']",4,2
"['17', '25', '51', '30', '54', '14', '33', '40', '55', '9', '41', '3', '42', '35', '72']","['32', '16', '24']","['72', '33', '32']",3,0
"['30', '63', '56', '38', '41', '54', '43', '26', '20', '49', '44', '52', '14', '6', '31']","['15', '40', '75']","['75', '26', '30']",2,0
"['50', '24', '52', '63', '7', '22', '28', '66', '60', '16', '56', '20', '34', '23', '37']","['10', '26', '30']","['34', '60', '66']",2,0
"['68', '41', '11', '17', '28', '53', '76', '59', '31', '25', '73', '47', '36', '72', '22']","['45', '12', '14']","['22', '25', '28']",4,0
"['19', '59', '55', '54', '62', '5', '75', '4', '0', '22', '7', '61', '73', '20', '3']","['38', '39', '72']","['75', '73', '72']",3,2
"['50', '73', '40', '57', '46', '54', '11', '45', '9', '31', '23', '34', '12', '7', '25']","['29', '62', '51']","['29', '31', '34']",2,0
"['52', '53', '48', '50', '13', '30', '10', '15', '65', '8', '5', '63', '33', '32', '45']","['70', '44', '14']","['48', '45', '44']",1,0
"['74', '3', '65', '68', '73', '76', '0', '66', '61', '41', '38', '5', '28', '27', '50']","['29', '11', '22']","['50', '61', '76']",1,1
